ClassicalMusic,Pz,BETA_L,0.680
ClassicalMusic,Pz,BETA_H,0.593
ClassicalMusic,Pz,GAMMA,0.547
ClassicalMusic,AF3,THETA,49.528
ClassicalMusic,AF3,ALPHA,15.971
ClassicalMusic,AF3,BETA_L,2.593
ClassicalMusic,AF3,BETA_H,1.266
ClassicalMusic,AF3,GAMMA,0.369
ClassicalMusic,AF4,THETA,40.931
ClassicalMusic,AF4,ALPHA,14.895
ClassicalMusic,AF4,BETA_L,2.526
ClassicalMusic,AF4,BETA_H,0.866
ClassicalMusic,AF4,GAMMA,0.357
ClassicalMusic,T7,THETA,1.633
ClassicalMusic,T7,ALPHA,3.672
ClassicalMusic,T7,BETA_L,2.413
ClassicalMusic,T7,BETA_H,1.098
ClassicalMusic,T7,GAMMA,0.595
ClassicalMusic,T8,THETA,3.676
ClassicalMusic,T8,ALPHA,1.384
ClassicalMusic,T8,BETA_L,1.793
ClassicalMusic,T8,BETA_H,0.852
ClassicalMusic,T8,GAMMA,0.348
ClassicalMusic,Pz,THETA,1.486
ClassicalMusic,Pz,ALPHA,1.387
ClassicalMusic,Pz,BETA_L,0.456
ClassicalMusic,Pz,BETA_H,0.536
ClassicalMusic,Pz,GAMMA,0.422
ClassicalMusic,AF3,THETA,38.048
ClassicalMusic,AF3,ALPHA,11.819
ClassicalMusic,AF3,BETA_L,2.418
ClassicalMusic,AF3,BETA_H,1.311
ClassicalMusic,AF3,GAMMA,0.408
ClassicalMusic,AF4,THETA,31.850
ClassicalMusic,AF4,ALPHA,10.703
ClassicalMusic,AF4,BETA_L,2.530
ClassicalMusic,AF4,BETA_H,0.980
ClassicalMusic,AF4,GAMMA,0.366
ClassicalMusic,T7,THETA,1.552
ClassicalMusic,T7,ALPHA,2.079
ClassicalMusic,T7,BETA_L,1.360
ClassicalMusic,T7,BETA_H,0.858
ClassicalMusic,T7,GAMMA,0.556
ClassicalMusic,T8,THETA,2.065
ClassicalMusic,T8,ALPHA,1.176
ClassicalMusic,T8,BETA_L,1.277
ClassicalMusic,T8,BETA_H,0.649
ClassicalMusic,T8,GAMMA,0.343
ClassicalMusic,Pz,THETA,1.505
ClassicalMusic,Pz,ALPHA,1.035
ClassicalMusic,Pz,BETA_L,0.308
ClassicalMusic,Pz,BETA_H,0.512
ClassicalMusic,Pz,GAMMA,0.340
ClassicalMusic,AF3,THETA,26.671
ClassicalMusic,AF3,ALPHA,7.922
ClassicalMusic,AF3,BETA_L,2.204
ClassicalMusic,AF3,BETA_H,1.362
ClassicalMusic,AF3,GAMMA,0.444
ClassicalMusic,AF4,THETA,22.778
ClassicalMusic,AF4,ALPHA,6.972
ClassicalMusic,AF4,BETA_L,2.590
ClassicalMusic,AF4,BETA_H,1.096
ClassicalMusic,AF4,GAMMA,0.373
ClassicalMusic,T7,THETA,1.496
ClassicalMusic,T7,ALPHA,1.065
ClassicalMusic,T7,BETA_L,0.728
ClassicalMusic,T7,BETA_H,0.662
ClassicalMusic,T7,GAMMA,0.528
ClassicalMusic,T8,THETA,1.077
ClassicalMusic,T8,ALPHA,0.958
ClassicalMusic,T8,BETA_L,1.047
ClassicalMusic,T8,BETA_H,0.569
ClassicalMusic,T8,GAMMA,0.342
ClassicalMusic,Pz,THETA,1.506
ClassicalMusic,Pz,ALPHA,0.803
ClassicalMusic,Pz,BETA_L,0.250
ClassicalMusic,Pz,BETA_H,0.521
ClassicalMusic,Pz,GAMMA,0.299
ClassicalMusic,AF3,THETA,16.852
ClassicalMusic,AF3,ALPHA,5.039
ClassicalMusic,AF3,BETA_L,1.928
ClassicalMusic,AF3,BETA_H,1.356
ClassicalMusic,AF3,GAMMA,0.472
ClassicalMusic,AF4,THETA,14.844
ClassicalMusic,AF4,ALPHA,4.309
ClassicalMusic,AF4,BETA_L,2.569
ClassicalMusic,AF4,BETA_H,1.154
ClassicalMusic,AF4,GAMMA,0.377
ClassicalMusic,T7,THETA,1.477
ClassicalMusic,T7,ALPHA,0.616
ClassicalMusic,T7,BETA_L,0.451
ClassicalMusic,T7,BETA_H,0.532
ClassicalMusic,T7,GAMMA,0.521
ClassicalMusic,T8,THETA,0.773
ClassicalMusic,T8,ALPHA,0.765
ClassicalMusic,T8,BETA_L,0.962
ClassicalMusic,T8,BETA_H,0.555
ClassicalMusic,T8,GAMMA,0.345
ClassicalMusic,Pz,THETA,1.502
ClassicalMusic,Pz,ALPHA,0.675
ClassicalMusic,Pz,BETA_L,0.276
ClassicalMusic,Pz,BETA_H,0.554
ClassicalMusic,Pz,GAMMA,0.294
ClassicalMusic,AF3,THETA,9.407
ClassicalMusic,AF3,ALPHA,3.308
ClassicalMusic,AF3,BETA_L,1.606
ClassicalMusic,AF3,BETA_H,1.265
ClassicalMusic,AF3,GAMMA,0.491
ClassicalMusic,AF4,THETA,8.833
ClassicalMusic,AF4,ALPHA,2.776
ClassicalMusic,AF4,BETA_L,2.386
ClassicalMusic,AF4,BETA_H,1.130
ClassicalMusic,AF4,GAMMA,0.375
ClassicalMusic,T7,THETA,1.467
ClassicalMusic,T7,ALPHA,0.542
ClassicalMusic,T7,BETA_L,0.392
ClassicalMusic,T7,BETA_H,0.466
ClassicalMusic,T7,GAMMA,0.528
ClassicalMusic,T8,THETA,0.902
ClassicalMusic,T8,ALPHA,0.610
ClassicalMusic,T8,BETA_L,0.884
ClassicalMusic,T8,BETA_H,0.551
ClassicalMusic,T8,GAMMA,0.347
ClassicalMusic,Pz,THETA,1.486
ClassicalMusic,Pz,ALPHA,0.597
ClassicalMusic,Pz,BETA_L,0.355
ClassicalMusic,Pz,BETA_H,0.600
ClassicalMusic,Pz,GAMMA,0.354
ClassicalMusic,AF3,THETA,9.834
ClassicalMusic,AF3,ALPHA,2.774
ClassicalMusic,AF3,BETA_L,1.328
ClassicalMusic,AF3,BETA_H,1.107
ClassicalMusic,AF3,GAMMA,0.508
ClassicalMusic,AF4,THETA,10.357
ClassicalMusic,AF4,ALPHA,2.444
ClassicalMusic,AF4,BETA_L,2.101
ClassicalMusic,AF4,BETA_H,1.036
ClassicalMusic,AF4,GAMMA,0.369
ClassicalMusic,T7,THETA,1.525
ClassicalMusic,T7,ALPHA,0.606
ClassicalMusic,T7,BETA_L,0.418
ClassicalMusic,T7,BETA_H,0.434
ClassicalMusic,T7,GAMMA,0.535
ClassicalMusic,T8,THETA,1.262
ClassicalMusic,T8,ALPHA,0.504
ClassicalMusic,T8,BETA_L,0.763
ClassicalMusic,T8,BETA_H,0.538
ClassicalMusic,T8,GAMMA,0.343
ClassicalMusic,Pz,THETA,1.432
ClassicalMusic,Pz,ALPHA,0.548
ClassicalMusic,Pz,BETA_L,0.453
ClassicalMusic,Pz,BETA_H,0.657
ClassicalMusic,Pz,GAMMA,0.523
ClassicalMusic,AF3,THETA,24.804
ClassicalMusic,AF3,ALPHA,3.595
ClassicalMusic,AF3,BETA_L,1.225
ClassicalMusic,AF3,BETA_H,0.952
ClassicalMusic,AF3,GAMMA,0.527
ClassicalMusic,AF4,THETA,26.336
ClassicalMusic,AF4,ALPHA,3.517
ClassicalMusic,AF4,BETA_L,1.852
ClassicalMusic,AF4,BETA_H,0.920
ClassicalMusic,AF4,GAMMA,0.363
ClassicalMusic,T7,THETA,1.681
ClassicalMusic,T7,ALPHA,0.687
ClassicalMusic,T7,BETA_L,0.470
ClassicalMusic,T7,BETA_H,0.414
ClassicalMusic,T7,GAMMA,0.529
ClassicalMusic,T8,THETA,1.727
ClassicalMusic,T8,ALPHA,0.442
ClassicalMusic,T8,BETA_L,0.620
ClassicalMusic,T8,BETA_H,0.520
ClassicalMusic,T8,GAMMA,0.330
ClassicalMusic,Pz,THETA,1.375
ClassicalMusic,Pz,ALPHA,0.538
ClassicalMusic,Pz,BETA_L,0.549
ClassicalMusic,Pz,BETA_H,0.732
ClassicalMusic,Pz,GAMMA,0.816
ClassicalMusic,AF3,THETA,55.860
ClassicalMusic,AF3,ALPHA,5.777
ClassicalMusic,AF3,BETA_L,1.385
ClassicalMusic,AF3,BETA_H,0.875
ClassicalMusic,AF3,GAMMA,0.547
ClassicalMusic,AF4,THETA,59.098
ClassicalMusic,AF4,ALPHA,5.988
ClassicalMusic,AF4,BETA_L,1.776
ClassicalMusic,AF4,BETA_H,0.835
ClassicalMusic,AF4,GAMMA,0.359
ClassicalMusic,T7,THETA,1.881
ClassicalMusic,T7,ALPHA,0.740
ClassicalMusic,T7,BETA_L,0.522
ClassicalMusic,T7,BETA_H,0.396
ClassicalMusic,T7,GAMMA,0.509
ClassicalMusic,T8,THETA,2.242
ClassicalMusic,T8,ALPHA,0.408
ClassicalMusic,T8,BETA_L,0.515
ClassicalMusic,T8,BETA_H,0.514
ClassicalMusic,T8,GAMMA,0.309
ClassicalMusic,Pz,THETA,1.365
ClassicalMusic,Pz,ALPHA,0.568
ClassicalMusic,Pz,BETA_L,0.637
ClassicalMusic,Pz,BETA_H,0.820
ClassicalMusic,Pz,GAMMA,1.187
ClassicalMusic,AF3,THETA,97.083
ClassicalMusic,AF3,ALPHA,9.016
ClassicalMusic,AF3,BETA_L,1.821
ClassicalMusic,AF3,BETA_H,0.917
ClassicalMusic,AF3,GAMMA,0.560
ClassicalMusic,AF4,THETA,102.575
ClassicalMusic,AF4,ALPHA,9.506
ClassicalMusic,AF4,BETA_L,1.960
ClassicalMusic,AF4,BETA_H,0.819
ClassicalMusic,AF4,GAMMA,0.360
ClassicalMusic,T7,THETA,2.012
ClassicalMusic,T7,ALPHA,0.773
ClassicalMusic,T7,BETA_L,0.559
ClassicalMusic,T7,BETA_H,0.381
ClassicalMusic,T7,GAMMA,0.485
ClassicalMusic,T8,THETA,2.726
ClassicalMusic,T8,ALPHA,0.406
ClassicalMusic,T8,BETA_L,0.508
ClassicalMusic,T8,BETA_H,0.543
ClassicalMusic,T8,GAMMA,0.286
ClassicalMusic,Pz,THETA,1.419
ClassicalMusic,Pz,ALPHA,0.623
ClassicalMusic,Pz,BETA_L,0.713
ClassicalMusic,Pz,BETA_H,0.908
ClassicalMusic,Pz,GAMMA,1.531
ClassicalMusic,AF3,THETA,138.665
ClassicalMusic,AF3,ALPHA,12.523
ClassicalMusic,AF3,BETA_L,2.409
ClassicalMusic,AF3,BETA_H,1.064
ClassicalMusic,AF3,GAMMA,0.557
ClassicalMusic,AF4,THETA,146.782
ClassicalMusic,AF4,ALPHA,13.252
ClassicalMusic,AF4,BETA_L,2.350
ClassicalMusic,AF4,BETA_H,0.876
ClassicalMusic,AF4,GAMMA,0.367
ClassicalMusic,T7,THETA,1.985
ClassicalMusic,T7,ALPHA,0.819
ClassicalMusic,T7,BETA_L,0.591
ClassicalMusic,T7,BETA_H,0.378
ClassicalMusic,T7,GAMMA,0.468
ClassicalMusic,T8,THETA,3.074
ClassicalMusic,T8,ALPHA,0.468
ClassicalMusic,T8,BETA_L,0.642
ClassicalMusic,T8,BETA_H,0.617
ClassicalMusic,T8,GAMMA,0.268
ClassicalMusic,Pz,THETA,1.510
ClassicalMusic,Pz,ALPHA,0.680
ClassicalMusic,Pz,BETA_L,0.779
ClassicalMusic,Pz,BETA_H,0.967
ClassicalMusic,Pz,GAMMA,1.734
ClassicalMusic,AF3,THETA,167.544
ClassicalMusic,AF3,ALPHA,15.141
ClassicalMusic,AF3,BETA_L,2.959
ClassicalMusic,AF3,BETA_H,1.259
ClassicalMusic,AF3,GAMMA,0.534
ClassicalMusic,AF4,THETA,177.662
ClassicalMusic,AF4,ALPHA,16.019
ClassicalMusic,AF4,BETA_L,2.790
ClassicalMusic,AF4,BETA_H,0.987
ClassicalMusic,AF4,GAMMA,0.379
ClassicalMusic,T7,THETA,1.790
ClassicalMusic,T7,ALPHA,0.899
ClassicalMusic,T7,BETA_L,0.631
ClassicalMusic,T7,BETA_H,0.411
ClassicalMusic,T7,GAMMA,0.472
ClassicalMusic,T8,THETA,3.201
ClassicalMusic,T8,ALPHA,0.622
ClassicalMusic,T8,BETA_L,0.926
ClassicalMusic,T8,BETA_H,0.726
ClassicalMusic,T8,GAMMA,0.268
ClassicalMusic,Pz,THETA,1.576
ClassicalMusic,Pz,ALPHA,0.714
ClassicalMusic,Pz,BETA_L,0.835
ClassicalMusic,Pz,BETA_H,0.972
ClassicalMusic,Pz,GAMMA,1.730
ClassicalMusic,AF3,THETA,173.331
ClassicalMusic,AF3,ALPHA,15.879
ClassicalMusic,AF3,BETA_L,3.292
ClassicalMusic,AF3,BETA_H,1.434
ClassicalMusic,AF3,GAMMA,0.499
ClassicalMusic,AF4,THETA,184.096
ClassicalMusic,AF4,ALPHA,16.791
ClassicalMusic,AF4,BETA_L,3.100
ClassicalMusic,AF4,BETA_H,1.119
ClassicalMusic,AF4,GAMMA,0.399
ClassicalMusic,T7,THETA,1.484
ClassicalMusic,T7,ALPHA,1.012
ClassicalMusic,T7,BETA_L,0.680
ClassicalMusic,T7,BETA_H,0.495
ClassicalMusic,T7,GAMMA,0.501
ClassicalMusic,T8,THETA,3.073
ClassicalMusic,T8,ALPHA,0.861
ClassicalMusic,T8,BETA_L,1.323
ClassicalMusic,T8,BETA_H,0.844
ClassicalMusic,T8,GAMMA,0.297
ClassicalMusic,Pz,THETA,1.551
ClassicalMusic,Pz,ALPHA,0.704
ClassicalMusic,Pz,BETA_L,0.885
ClassicalMusic,Pz,BETA_H,0.909
ClassicalMusic,Pz,GAMMA,1.530
ClassicalMusic,AF3,THETA,153.952
ClassicalMusic,AF3,ALPHA,14.398
ClassicalMusic,AF3,BETA_L,3.323
ClassicalMusic,AF3,BETA_H,1.535
ClassicalMusic,AF3,GAMMA,0.467
ClassicalMusic,AF4,THETA,163.786
ClassicalMusic,AF4,ALPHA,15.237
ClassicalMusic,AF4,BETA_L,3.163
ClassicalMusic,AF4,BETA_H,1.236
ClassicalMusic,AF4,GAMMA,0.432
ClassicalMusic,T7,THETA,1.154
ClassicalMusic,T7,ALPHA,1.131
ClassicalMusic,T7,BETA_L,0.724
ClassicalMusic,T7,BETA_H,0.626
ClassicalMusic,T7,GAMMA,0.551
ClassicalMusic,T8,THETA,2.734
ClassicalMusic,T8,ALPHA,1.153
ClassicalMusic,T8,BETA_L,1.744
ClassicalMusic,T8,BETA_H,0.938
ClassicalMusic,T8,GAMMA,0.359
ClassicalMusic,Pz,THETA,1.425
ClassicalMusic,Pz,ALPHA,0.649
ClassicalMusic,Pz,BETA_L,0.923
ClassicalMusic,Pz,BETA_H,0.786
ClassicalMusic,Pz,GAMMA,1.215
ClassicalMusic,AF3,THETA,116.278
ClassicalMusic,AF3,ALPHA,11.178
ClassicalMusic,AF3,BETA_L,3.094
ClassicalMusic,AF3,BETA_H,1.538
ClassicalMusic,AF3,GAMMA,0.450
ClassicalMusic,AF4,THETA,123.946
ClassicalMusic,AF4,ALPHA,11.880
ClassicalMusic,AF4,BETA_L,2.990
ClassicalMusic,AF4,BETA_H,1.302
ClassicalMusic,AF4,GAMMA,0.479
ClassicalMusic,T7,THETA,0.887
ClassicalMusic,T7,ALPHA,1.213
ClassicalMusic,T7,BETA_L,0.738
ClassicalMusic,T7,BETA_H,0.774
ClassicalMusic,T7,GAMMA,0.617
ClassicalMusic,T8,THETA,2.296
ClassicalMusic,T8,ALPHA,1.430
ClassicalMusic,T8,BETA_L,2.064
ClassicalMusic,T8,BETA_H,0.973
ClassicalMusic,T8,GAMMA,0.447
ClassicalMusic,Pz,THETA,1.248
ClassicalMusic,Pz,ALPHA,0.578
ClassicalMusic,Pz,BETA_L,0.942
ClassicalMusic,Pz,BETA_H,0.634
ClassicalMusic,Pz,GAMMA,0.895
ClassicalMusic,AF3,THETA,72.976
ClassicalMusic,AF3,ALPHA,7.303
ClassicalMusic,AF3,BETA_L,2.702
ClassicalMusic,AF3,BETA_H,1.449
ClassicalMusic,AF3,GAMMA,0.453
